Measure	Value	Library
Sequence length	50-151	JVD63_R1_rmphix_fastqc
%GC	62	JVD63_R1_rmphix_fastqc
Filename	JVD63_R2_rmphix.fq.gz	JVD63_R2_rmphix_fastqc
File type	Conventional base calls	JVD63_R2_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	JVD63_R2_rmphix_fastqc
Total Sequences	26876746	JVD63_R2_rmphix_fastqc
Sequences flagged as poor quality	0	JVD63_R2_rmphix_fastqc
Sequence length	50-151	JVD63_R2_rmphix_fastqc
%GC	62	JVD63_R2_rmphix_fastqc
Filename	JVD64_R1_rmphix.fq.gz	JVD64_R1_rmphix_fastqc
File type	Conventional base calls	JVD64_R1_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	JVD64_R1_rmphix_fastqc
Total Sequences	30504031	JVD64_R1_rmphix_fastqc
Sequences flagged as poor quality	0	JVD64_R1_rmphix_fastqc
Sequence length	50-151	JVD64_R1_rmphix_fastqc
%GC	61	JVD64_R1_rmphix_fastqc
Filename	JVD64_R2_rmphix.fq.gz	JVD64_R2_rmphix_fastqc
File type	Conventional base calls	JVD64_R2_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	JVD64_R2_rmphix_fastqc
Total Sequences	30504031	JVD64_R2_rmphix_fastqc
Sequences flagged as poor quality	0	JVD64_R2_rmphix_fastqc
Sequence length	50-151	JVD64_R2_rmphix_fastqc
%GC	61	JVD64_R2_rmphix_fastqc
Filename	JVD65_R1_rmphix.fq.gz	JVD65_R1_rmphix_fastqc
File type	Conventional base calls	JVD65_R1_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	JVD65_R1_rmphix_fastqc
Total Sequences	28323558	JVD65_R1_rmphix_fastqc
Sequences flagged as poor quality	0	JVD65_R1_rmphix_fastqc
Sequence length	50-151	JVD65_R1_rmphix_fastqc
%GC	60	JVD65_R1_rmphix_fastqc
Filename	JVD65_R2_rmphix.fq.gz	JVD65_R2_rmphix_fastqc
File type	Conventional base calls	JVD65_R2_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	JVD65_R2_rmphix_fastqc
Total Sequences	28323558	JVD65_R2_rmphix_fastqc
Sequences flagged as poor quality	0	JVD65_R2_rmphix_fastqc
Sequence length	50-151	JVD65_R2_rmphix_fastqc
%GC	60	JVD65_R2_rmphix_fastqc
Filename	JVD66_R1_rmphix.fq.gz	JVD66_R1_rmphix_fastqc
File type	Conventional base calls	JVD66_R1_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	JVD66_R1_rmphix_fastqc
Total Sequences	33841449	JVD66_R1_rmphix_fastqc
Sequences flagged as poor quality	0	JVD66_R1_rmphix_fastqc
Sequence length	50-151	JVD66_R1_rmphix_fastqc
%GC	61	JVD66_R1_rmphix_fastqc
Filename	JVD66_R2_rmphix.fq.gz	JVD66_R2_rmphix_fastqc
File type	Conventional base calls	JVD66_R2_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	JVD66_R2_rmphix_fastqc
Total Sequences	33841449	JVD66_R2_rmphix_fastqc
Sequences flagged as poor quality	0	JVD66_R2_rmphix_fastqc
Sequence length	50-151	JVD66_R2_rmphix_fastqc
%GC	61	JVD66_R2_rmphix_fastqc
Filename	JVD67_R1_rmphix.fq.gz	JVD67_R1_rmphix_fastqc
File type	Conventional base calls	JVD67_R1_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	JVD67_R1_rmphix_fastqc
Total Sequences	28734663	JVD67_R1_rmphix_fastqc
Sequences flagged as poor quality	0	JVD67_R1_rmphix_fastqc
Sequence length	50-151	JVD67_R1_rmphix_fastqc
%GC	61	JVD67_R1_rmphix_fastqc
Filename	JVD67_R2_rmphix.fq.gz	JVD67_R2_rmphix_fastqc
File type	Conventional base calls	JVD67_R2_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	JVD67_R2_rmphix_fastqc
Total Sequences	28734663	JVD67_R2_rmphix_fastqc
Sequences flagged as poor quality	0	JVD67_R2_rmphix_fastqc
Sequence length	50-151	JVD67_R2_rmphix_fastqc
%GC	61	JVD67_R2_rmphix_fastqc
Filename	JVD68_R1_rmphix.fq.gz	JVD68_R1_rmphix_fastqc
File type	Conventional base calls	JVD68_R1_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	JVD68_R1_rmphix_fastqc
Total Sequences	32734197	JVD68_R1_rmphix_fastqc
Sequences flagged as poor quality	0	JVD68_R1_rmphix_fastqc
Sequence length	50-151	JVD68_R1_rmphix_fastqc
%GC	62	JVD68_R1_rmphix_fastqc
Filename	JVD68_R2_rmphix.fq.gz	JVD68_R2_rmphix_fastqc
File type	Conventional base calls	JVD68_R2_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	JVD68_R2_rmphix_fastqc
Total Sequences	32734197	JVD68_R2_rmphix_fastqc
Sequences flagged as poor quality	0	JVD68_R2_rmphix_fastqc
Sequence length	50-151	JVD68_R2_rmphix_fastqc
%GC	62	JVD68_R2_rmphix_fastqc
Filename	JVD69_R1_rmphix.fq.gz	JVD69_R1_rmphix_fastqc
File type	Conventional base calls	JVD69_R1_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	JVD69_R1_rmphix_fastqc
Total Sequences	27427786	JVD69_R1_rmphix_fastqc
Sequences flagged as poor quality	0	JVD69_R1_rmphix_fastqc
Sequence length	50-151	JVD69_R1_rmphix_fastqc
%GC	60	JVD69_R1_rmphix_fastqc
Filename	JVD69_R2_rmphix.fq.gz	JVD69_R2_rmphix_fastqc
File type	Conventional base calls	JVD69_R2_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	JVD69_R2_rmphix_fastqc
Total Sequences	27427786	JVD69_R2_rmphix_fastqc
Sequences flagged as poor quality	0	JVD69_R2_rmphix_fastqc
Sequence length	50-151	JVD69_R2_rmphix_fastqc
%GC	60	JVD69_R2_rmphix_fastqc
Filename	JVD70_R1_rmphix.fq.gz	JVD70_R1_rmphix_fastqc
File type	Conventional base calls	JVD70_R1_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	JVD70_R1_rmphix_fastqc
Total Sequences	32296345	JVD70_R1_rmphix_fastqc
Sequences flagged as poor quality	0	JVD70_R1_rmphix_fastqc
Sequence length	50-151	JVD70_R1_rmphix_fastqc
%GC	61	JVD70_R1_rmphix_fastqc
Filename	JVD70_R2_rmphix.fq.gz	JVD70_R2_rmphix_fastqc
File type	Conventional base calls	JVD70_R2_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	JVD70_R2_rmphix_fastqc
Total Sequences	32296345	JVD70_R2_rmphix_fastqc
Sequences flagged as poor quality	0	JVD70_R2_rmphix_fastqc
Sequence length	50-151	JVD70_R2_rmphix_fastqc
%GC	61	JVD70_R2_rmphix_fastqc
Filename	JVD71_R1_rmphix.fq.gz	JVD71_R1_rmphix_fastqc
File type	Conventional base calls	JVD71_R1_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	JVD71_R1_rmphix_fastqc
Total Sequences	26777616	JVD71_R1_rmphix_fastqc
Sequences flagged as poor quality	0	JVD71_R1_rmphix_fastqc
Sequence length	50-151	JVD71_R1_rmphix_fastqc
%GC	61	JVD71_R1_rmphix_fastqc
Filename	JVD71_R2_rmphix.fq.gz	JVD71_R2_rmphix_fastqc
File type	Conventional base calls	JVD71_R2_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	JVD71_R2_rmphix_fastqc
Total Sequences	26777616	JVD71_R2_rmphix_fastqc
Sequences flagged as poor quality	0	JVD71_R2_rmphix_fastqc
Sequence length	50-151	JVD71_R2_rmphix_fastqc
%GC	61	JVD71_R2_rmphix_fastqc
Filename	JVD72_R1_rmphix.fq.gz	JVD72_R1_rmphix_fastqc
File type	Conventional base calls	JVD72_R1_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	JVD72_R1_rmphix_fastqc
Total Sequences	31773451	JVD72_R1_rmphix_fastqc
Sequences flagged as poor quality	0	JVD72_R1_rmphix_fastqc
Sequence length	50-151	JVD72_R1_rmphix_fastqc
%GC	61	JVD72_R1_rmphix_fastqc
Filename	JVD72_R2_rmphix.fq.gz	JVD72_R2_rmphix_fastqc
File type	Conventional base calls	JVD72_R2_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	JVD72_R2_rmphix_fastqc
Total Sequences	31773451	JVD72_R2_rmphix_fastqc
Sequences flagged as poor quality	0	JVD72_R2_rmphix_fastqc
Sequence length	50-151	JVD72_R2_rmphix_fastqc
%GC	61	JVD72_R2_rmphix_fastqc
Filename	JVD73_R1_rmphix.fq.gz	JVD73_R1_rmphix_fastqc
File type	Conventional base calls	JVD73_R1_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	JVD73_R1_rmphix_fastqc
Total Sequences	27094872	JVD73_R1_rmphix_fastqc
Sequences flagged as poor quality	0	JVD73_R1_rmphix_fastqc
Sequence length	50-151	JVD73_R1_rmphix_fastqc
%GC	60	JVD73_R1_rmphix_fastqc
Filename	JVD73_R2_rmphix.fq.gz	JVD73_R2_rmphix_fastqc
File type	Conventional base calls	JVD73_R2_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	JVD73_R2_rmphix_fastqc
Total Sequences	27094872	JVD73_R2_rmphix_fastqc
Sequences flagged as poor quality	0	JVD73_R2_rmphix_fastqc
Sequence length	50-151	JVD73_R2_rmphix_fastqc
%GC	60	JVD73_R2_rmphix_fastqc
Filename	JVD74_R1_rmphix.fq.gz	JVD74_R1_rmphix_fastqc
File type	Conventional base calls	JVD74_R1_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	JVD74_R1_rmphix_fastqc
Total Sequences	27097505	JVD74_R1_rmphix_fastqc
Sequences flagged as poor quality	0	JVD74_R1_rmphix_fastqc
Sequence length	50-151	JVD74_R1_rmphix_fastqc
%GC	61	JVD74_R1_rmphix_fastqc
Filename	JVD74_R2_rmphix.fq.gz	JVD74_R2_rmphix_fastqc
File type	Conventional base calls	JVD74_R2_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	JVD74_R2_rmphix_fastqc
Total Sequences	27097505	JVD74_R2_rmphix_fastqc
Sequences flagged as poor quality	0	JVD74_R2_rmphix_fastqc
Sequence length	50-151	JVD74_R2_rmphix_fastqc
%GC	61	JVD74_R2_rmphix_fastqc
Filename	JVD75_R1_rmphix.fq.gz	JVD75_R1_rmphix_fastqc
File type	Conventional base calls	JVD75_R1_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	JVD75_R1_rmphix_fastqc
Total Sequences	26350343	JVD75_R1_rmphix_fastqc
Sequences flagged as poor quality	0	JVD75_R1_rmphix_fastqc
Sequence length	50-151	JVD75_R1_rmphix_fastqc
%GC	61	JVD75_R1_rmphix_fastqc
Filename	JVD75_R2_rmphix.fq.gz	JVD75_R2_rmphix_fastqc
File type	Conventional base calls	JVD75_R2_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	JVD75_R2_rmphix_fastqc
Total Sequences	26350343	JVD75_R2_rmphix_fastqc
Sequences flagged as poor quality	0	JVD75_R2_rmphix_fastqc
Sequence length	50-151	JVD75_R2_rmphix_fastqc
%GC	61	JVD75_R2_rmphix_fastqc
Filename	JVD76_R1_rmphix.fq.gz	JVD76_R1_rmphix_fastqc
File type	Conventional base calls	JVD76_R1_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	JVD76_R1_rmphix_fastqc
Total Sequences	28715862	JVD76_R1_rmphix_fastqc
Sequences flagged as poor quality	0	JVD76_R1_rmphix_fastqc
Sequence length	50-151	JVD76_R1_rmphix_fastqc
%GC	61	JVD76_R1_rmphix_fastqc
Filename	JVD76_R2_rmphix.fq.gz	JVD76_R2_rmphix_fastqc
File type	Conventional base calls	JVD76_R2_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	JVD76_R2_rmphix_fastqc
Total Sequences	28715862	JVD76_R2_rmphix_fastqc
Sequences flagged as poor quality	0	JVD76_R2_rmphix_fastqc
Sequence length	50-151	JVD76_R2_rmphix_fastqc
%GC	61	JVD76_R2_rmphix_fastqc
Filename	JVD77_R1_rmphix.fq.gz	JVD77_R1_rmphix_fastqc
File type	Conventional base calls	JVD77_R1_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	JVD77_R1_rmphix_fastqc
Total Sequences	26482782	JVD77_R1_rmphix_fastqc
Sequences flagged as poor quality	0	JVD77_R1_rmphix_fastqc
Sequence length	50-151	JVD77_R1_rmphix_fastqc
%GC	61	JVD77_R1_rmphix_fastqc
Filename	JVD77_R2_rmphix.fq.gz	JVD77_R2_rmphix_fastqc
File type	Conventional base calls	JVD77_R2_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	JVD77_R2_rmphix_fastqc
Total Sequences	26482782	JVD77_R2_rmphix_fastqc
Sequences flagged as poor quality	0	JVD77_R2_rmphix_fastqc
Sequence length	50-151	JVD77_R2_rmphix_fastqc
%GC	61	JVD77_R2_rmphix_fastqc
Filename	JVD78_R1_rmphix.fq.gz	JVD78_R1_rmphix_fastqc
File type	Conventional base calls	JVD78_R1_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	JVD78_R1_rmphix_fastqc
Total Sequences	19275812	JVD78_R1_rmphix_fastqc
Sequences flagged as poor quality	0	JVD78_R1_rmphix_fastqc
Sequence length	50-151	JVD78_R1_rmphix_fastqc
%GC	61	JVD78_R1_rmphix_fastqc
Filename	JVD78_R2_rmphix.fq.gz	JVD78_R2_rmphix_fastqc
File type	Conventional base calls	JVD78_R2_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	JVD78_R2_rmphix_fastqc
Total Sequences	19275812	JVD78_R2_rmphix_fastqc
Sequences flagged as poor quality	0	JVD78_R2_rmphix_fastqc
Sequence length	50-151	JVD78_R2_rmphix_fastqc
%GC	62	JVD78_R2_rmphix_fastqc
Filename	JVD79_R1_rmphix.fq.gz	JVD79_R1_rmphix_fastqc
File type	Conventional base calls	JVD79_R1_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	JVD79_R1_rmphix_fastqc
Total Sequences	28117606	JVD79_R1_rmphix_fastqc
Sequences flagged as poor quality	0	JVD79_R1_rmphix_fastqc
Sequence length	50-151	JVD79_R1_rmphix_fastqc
%GC	60	JVD79_R1_rmphix_fastqc
Filename	JVD79_R2_rmphix.fq.gz	JVD79_R2_rmphix_fastqc
File type	Conventional base calls	JVD79_R2_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	JVD79_R2_rmphix_fastqc
Total Sequences	28117606	JVD79_R2_rmphix_fastqc
Sequences flagged as poor quality	0	JVD79_R2_rmphix_fastqc
Sequence length	50-151	JVD79_R2_rmphix_fastqc
%GC	60	JVD79_R2_rmphix_fastqc
Filename	JVD80_R1_rmphix.fq.gz	JVD80_R1_rmphix_fastqc
File type	Conventional base calls	JVD80_R1_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	JVD80_R1_rmphix_fastqc
Total Sequences	27928656	JVD80_R1_rmphix_fastqc
Sequences flagged as poor quality	0	JVD80_R1_rmphix_fastqc
Sequence length	50-151	JVD80_R1_rmphix_fastqc
%GC	60	JVD80_R1_rmphix_fastqc
Filename	JVD80_R2_rmphix.fq.gz	JVD80_R2_rmphix_fastqc
File type	Conventional base calls	JVD80_R2_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	JVD80_R2_rmphix_fastqc
Total Sequences	27928656	JVD80_R2_rmphix_fastqc
Sequences flagged as poor quality	0	JVD80_R2_rmphix_fastqc
Sequence length	50-151	JVD80_R2_rmphix_fastqc
%GC	60	JVD80_R2_rmphix_fastqc
Filename	JVD81_R1_rmphix.fq.gz	JVD81_R1_rmphix_fastqc
File type	Conventional base calls	JVD81_R1_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	JVD81_R1_rmphix_fastqc
Total Sequences	27339965	JVD81_R1_rmphix_fastqc
Sequences flagged as poor quality	0	JVD81_R1_rmphix_fastqc
Sequence length	50-151	JVD81_R1_rmphix_fastqc
%GC	60	JVD81_R1_rmphix_fastqc
Filename	JVD81_R2_rmphix.fq.gz	JVD81_R2_rmphix_fastqc
File type	Conventional base calls	JVD81_R2_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	JVD81_R2_rmphix_fastqc
Total Sequences	27339965	JVD81_R2_rmphix_fastqc
Sequences flagged as poor quality	0	JVD81_R2_rmphix_fastqc
Sequence length	50-151	JVD81_R2_rmphix_fastqc
%GC	60	JVD81_R2_rmphix_fastqc
Filename	JVD82_R1_rmphix.fq.gz	JVD82_R1_rmphix_fastqc
File type	Conventional base calls	JVD82_R1_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	JVD82_R1_rmphix_fastqc
Total Sequences	30727088	JVD82_R1_rmphix_fastqc
Sequences flagged as poor quality	0	JVD82_R1_rmphix_fastqc
Sequence length	50-151	JVD82_R1_rmphix_fastqc
%GC	61	JVD82_R1_rmphix_fastqc
Filename	JVD82_R2_rmphix.fq.gz	JVD82_R2_rmphix_fastqc
File type	Conventional base calls	JVD82_R2_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	JVD82_R2_rmphix_fastqc
Total Sequences	30727088	JVD82_R2_rmphix_fastqc
Sequences flagged as poor quality	0	JVD82_R2_rmphix_fastqc
Sequence length	50-151	JVD82_R2_rmphix_fastqc
%GC	61	JVD82_R2_rmphix_fastqc
Filename	JVD83_R1_rmphix.fq.gz	JVD83_R1_rmphix_fastqc
File type	Conventional base calls	JVD83_R1_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	JVD83_R1_rmphix_fastqc
Total Sequences	26367323	JVD83_R1_rmphix_fastqc
Sequences flagged as poor quality	0	JVD83_R1_rmphix_fastqc
Sequence length	50-151	JVD83_R1_rmphix_fastqc
%GC	60	JVD83_R1_rmphix_fastqc
Filename	JVD83_R2_rmphix.fq.gz	JVD83_R2_rmphix_fastqc
File type	Conventional base calls	JVD83_R2_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	JVD83_R2_rmphix_fastqc
Total Sequences	26367323	JVD83_R2_rmphix_fastqc
Sequences flagged as poor quality	0	JVD83_R2_rmphix_fastqc
Sequence length	50-151	JVD83_R2_rmphix_fastqc
%GC	60	JVD83_R2_rmphix_fastqc
Filename	JVD84_R1_rmphix.fq.gz	JVD84_R1_rmphix_fastqc
File type	Conventional base calls	JVD84_R1_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	JVD84_R1_rmphix_fastqc
Total Sequences	33958858	JVD84_R1_rmphix_fastqc
Sequences flagged as poor quality	0	JVD84_R1_rmphix_fastqc
Sequence length	50-151	JVD84_R1_rmphix_fastqc
%GC	60	JVD84_R1_rmphix_fastqc
Filename	JVD84_R2_rmphix.fq.gz	JVD84_R2_rmphix_fastqc
File type	Conventional base calls	JVD84_R2_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	JVD84_R2_rmphix_fastqc
Total Sequences	33958858	JVD84_R2_rmphix_fastqc
Sequences flagged as poor quality	0	JVD84_R2_rmphix_fastqc
Sequence length	50-151	JVD84_R2_rmphix_fastqc
%GC	60	JVD84_R2_rmphix_fastqc
Filename	JVD85_R1_rmphix.fq.gz	JVD85_R1_rmphix_fastqc
File type	Conventional base calls	JVD85_R1_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	JVD85_R1_rmphix_fastqc
Total Sequences	27410237	JVD85_R1_rmphix_fastqc
Sequences flagged as poor quality	0	JVD85_R1_rmphix_fastqc
Sequence length	50-151	JVD85_R1_rmphix_fastqc
%GC	61	JVD85_R1_rmphix_fastqc
Filename	JVD85_R2_rmphix.fq.gz	JVD85_R2_rmphix_fastqc
File type	Conventional base calls	JVD85_R2_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	JVD85_R2_rmphix_fastqc
Total Sequences	27410237	JVD85_R2_rmphix_fastqc
Sequences flagged as poor quality	0	JVD85_R2_rmphix_fastqc
Sequence length	50-151	JVD85_R2_rmphix_fastqc
%GC	61	JVD85_R2_rmphix_fastqc
Filename	JVD86_R1_rmphix.fq.gz	JVD86_R1_rmphix_fastqc
File type	Conventional base calls	JVD86_R1_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	JVD86_R1_rmphix_fastqc
Total Sequences	36157014	JVD86_R1_rmphix_fastqc
Sequences flagged as poor quality	0	JVD86_R1_rmphix_fastqc
Sequence length	50-151	JVD86_R1_rmphix_fastqc
%GC	61	JVD86_R1_rmphix_fastqc
Filename	JVD86_R2_rmphix.fq.gz	JVD86_R2_rmphix_fastqc
File type	Conventional base calls	JVD86_R2_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	JVD86_R2_rmphix_fastqc
Total Sequences	36157014	JVD86_R2_rmphix_fastqc
Sequences flagged as poor quality	0	JVD86_R2_rmphix_fastqc
Sequence length	50-151	JVD86_R2_rmphix_fastqc
%GC	61	JVD86_R2_rmphix_fastqc
Filename	JVD87_R1_rmphix.fq.gz	JVD87_R1_rmphix_fastqc
File type	Conventional base calls	JVD87_R1_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	JVD87_R1_rmphix_fastqc
Total Sequences	26781705	JVD87_R1_rmphix_fastqc
Sequences flagged as poor quality	0	JVD87_R1_rmphix_fastqc
Sequence length	50-151	JVD87_R1_rmphix_fastqc
%GC	62	JVD87_R1_rmphix_fastqc
Filename	JVD87_R2_rmphix.fq.gz	JVD87_R2_rmphix_fastqc
File type	Conventional base calls	JVD87_R2_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	JVD87_R2_rmphix_fastqc
Total Sequences	26781705	JVD87_R2_rmphix_fastqc
Sequences flagged as poor quality	0	JVD87_R2_rmphix_fastqc
Sequence length	50-151	JVD87_R2_rmphix_fastqc
%GC	62	JVD87_R2_rmphix_fastqc
Filename	JVD88_R1_rmphix.fq.gz	JVD88_R1_rmphix_fastqc
File type	Conventional base calls	JVD88_R1_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	JVD88_R1_rmphix_fastqc
Total Sequences	35265783	JVD88_R1_rmphix_fastqc
Sequences flagged as poor quality	0	JVD88_R1_rmphix_fastqc
Sequence length	50-151	JVD88_R1_rmphix_fastqc
%GC	60	JVD88_R1_rmphix_fastqc
Filename	JVD88_R2_rmphix.fq.gz	JVD88_R2_rmphix_fastqc
File type	Conventional base calls	JVD88_R2_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	JVD88_R2_rmphix_fastqc
Total Sequences	35265783	JVD88_R2_rmphix_fastqc
Sequences flagged as poor quality	0	JVD88_R2_rmphix_fastqc
Sequence length	50-151	JVD88_R2_rmphix_fastqc
%GC	60	JVD88_R2_rmphix_fastqc
Filename	JVD89_R1_rmphix.fq.gz	JVD89_R1_rmphix_fastqc
File type	Conventional base calls	JVD89_R1_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	JVD89_R1_rmphix_fastqc
Total Sequences	27289163	JVD89_R1_rmphix_fastqc
Sequences flagged as poor quality	0	JVD89_R1_rmphix_fastqc
Sequence length	50-151	JVD89_R1_rmphix_fastqc
%GC	60	JVD89_R1_rmphix_fastqc
Filename	JVD89_R2_rmphix.fq.gz	JVD89_R2_rmphix_fastqc
File type	Conventional base calls	JVD89_R2_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	JVD89_R2_rmphix_fastqc
Total Sequences	27289163	JVD89_R2_rmphix_fastqc
Sequences flagged as poor quality	0	JVD89_R2_rmphix_fastqc
Sequence length	50-151	JVD89_R2_rmphix_fastqc
%GC	60	JVD89_R2_rmphix_fastqc
Filename	JVD90_R1_rmphix.fq.gz	JVD90_R1_rmphix_fastqc
File type	Conventional base calls	JVD90_R1_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	JVD90_R1_rmphix_fastqc
Total Sequences	34730492	JVD90_R1_rmphix_fastqc
Sequences flagged as poor quality	0	JVD90_R1_rmphix_fastqc
Sequence length	50-151	JVD90_R1_rmphix_fastqc
%GC	60	JVD90_R1_rmphix_fastqc
Filename	JVD90_R2_rmphix.fq.gz	JVD90_R2_rmphix_fastqc
File type	Conventional base calls	JVD90_R2_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	JVD90_R2_rmphix_fastqc
Total Sequences	34730492	JVD90_R2_rmphix_fastqc
Sequences flagged as poor quality	0	JVD90_R2_rmphix_fastqc
Sequence length	50-151	JVD90_R2_rmphix_fastqc
%GC	60	JVD90_R2_rmphix_fastqc
Filename	JVD91_R1_rmphix.fq.gz	JVD91_R1_rmphix_fastqc
File type	Conventional base calls	JVD91_R1_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	JVD91_R1_rmphix_fastqc
Total Sequences	26983451	JVD91_R1_rmphix_fastqc
Sequences flagged as poor quality	0	JVD91_R1_rmphix_fastqc
Sequence length	50-151	JVD91_R1_rmphix_fastqc
%GC	60	JVD91_R1_rmphix_fastqc
Filename	JVD91_R2_rmphix.fq.gz	JVD91_R2_rmphix_fastqc
File type	Conventional base calls	JVD91_R2_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	JVD91_R2_rmphix_fastqc
Total Sequences	26983451	JVD91_R2_rmphix_fastqc
Sequences flagged as poor quality	0	JVD91_R2_rmphix_fastqc
Sequence length	50-151	JVD91_R2_rmphix_fastqc
%GC	60	JVD91_R2_rmphix_fastqc
Filename	JVD92_R1_rmphix.fq.gz	JVD92_R1_rmphix_fastqc
File type	Conventional base calls	JVD92_R1_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	JVD92_R1_rmphix_fastqc
Total Sequences	29040649	JVD92_R1_rmphix_fastqc
Sequences flagged as poor quality	0	JVD92_R1_rmphix_fastqc
Sequence length	50-151	JVD92_R1_rmphix_fastqc
%GC	59	JVD92_R1_rmphix_fastqc
Filename	JVD92_R2_rmphix.fq.gz	JVD92_R2_rmphix_fastqc
File type	Conventional base calls	JVD92_R2_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	JVD92_R2_rmphix_fastqc
Total Sequences	29040649	JVD92_R2_rmphix_fastqc
Sequences flagged as poor quality	0	JVD92_R2_rmphix_fastqc
Sequence length	50-151	JVD92_R2_rmphix_fastqc
%GC	59	JVD92_R2_rmphix_fastqc
Filename	JVD93_R1_rmphix.fq.gz	JVD93_R1_rmphix_fastqc
File type	Conventional base calls	JVD93_R1_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	JVD93_R1_rmphix_fastqc
Total Sequences	26085113	JVD93_R1_rmphix_fastqc
Sequences flagged as poor quality	0	JVD93_R1_rmphix_fastqc
Sequence length	50-151	JVD93_R1_rmphix_fastqc
%GC	60	JVD93_R1_rmphix_fastqc
Filename	JVD93_R2_rmphix.fq.gz	JVD93_R2_rmphix_fastqc
File type	Conventional base calls	JVD93_R2_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	JVD93_R2_rmphix_fastqc
Total Sequences	26085113	JVD93_R2_rmphix_fastqc
Sequences flagged as poor quality	0	JVD93_R2_rmphix_fastqc
Sequence length	50-151	JVD93_R2_rmphix_fastqc
%GC	60	JVD93_R2_rmphix_fastqc
Filename	JVD94_R1_rmphix.fq.gz	JVD94_R1_rmphix_fastqc
File type	Conventional base calls	JVD94_R1_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	JVD94_R1_rmphix_fastqc
Total Sequences	29756345	JVD94_R1_rmphix_fastqc
Sequences flagged as poor quality	0	JVD94_R1_rmphix_fastqc
Sequence length	50-151	JVD94_R1_rmphix_fastqc
%GC	60	JVD94_R1_rmphix_fastqc
Filename	JVD94_R2_rmphix.fq.gz	JVD94_R2_rmphix_fastqc
File type	Conventional base calls	JVD94_R2_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	JVD94_R2_rmphix_fastqc
Total Sequences	29756345	JVD94_R2_rmphix_fastqc
Sequences flagged as poor quality	0	JVD94_R2_rmphix_fastqc
Sequence length	50-151	JVD94_R2_rmphix_fastqc
%GC	60	JVD94_R2_rmphix_fastqc
